,SAMPID_liver,binned
0,GTEX.11EQ9.0526.SM.5A5JZ,"(25, 80]"
1,GTEX.11GSP.0626.SM.5986T,"(25, 80]"
2,GTEX.11TT1.1726.SM.5EQLJ,"(0, 25]"
3,GTEX.12WSD.1426.SM.5GCN9,"(25, 80]"
4,GTEX.12WSG.0626.SM.5FQTQ,"(25, 80]"
5,GTEX.12WSL.0226.SM.5CVMJ,"(25, 80]"
6,GTEX.131XE.0326.SM.5LZVO,"(25, 80]"
7,GTEX.132AR.0426.SM.5IFH8,"(25, 80]"
8,GTEX.1399R.1226.SM.5P9GF,"(25, 80]"
9,GTEX.139YR.0226.SM.5IFEM,"(25, 80]"
10,GTEX.13FLV.0326.SM.5N9DJ,"(25, 80]"
11,GTEX.13FTW.1126.SM.5J2NV,"(25, 80]"
12,GTEX.13N11.0926.SM.5IJG2,"(25, 80]"
13,GTEX.13O1R.2026.SM.5KM3N,"(0, 25]"
14,GTEX.13PVR.0126.SM.5S2PY,"(0, 25]"
15,GTEX.13SLX.1226.SM.5S2Q6,"(0, 25]"
16,GTEX.144GM.1326.SM.5LU5E,"(25, 80]"
17,GTEX.145MO.2326.SM.5NQ9K,"(25, 80]"
18,GTEX.146FH.1526.SM.5NQBU,"(25, 80]"
19,GTEX.148VI.0626.SM.5TDDH,"(25, 80]"
20,GTEX.1497J.0726.SM.5Q5D1,"(25, 80]"
21,GTEX.14AS3.0126.SM.5Q5F4,"(0, 25]"
22,GTEX.14PHX.0526.SM.664NW,"(0, 25]"
23,GTEX.14PJO.1726.SM.68719,"(0, 25]"
24,GTEX.15DYW.1326.SM.6LPIV,"(25, 80]"
25,GTEX.15ER7.1826.SM.6LLI7,"(25, 80]"
26,GTEX.15RJ7.2026.SM.6LPJ4,"(0, 25]"
27,GTEX.17HGU.1826.SM.7IGQM,"(0, 25]"
28,GTEX.17HHE.0126.SM.79398,"(0, 25]"
29,GTEX.17MF6.1126.SM.7DUFS,"(25, 80]"
30,GTEX.18A66.2026.SM.7189C,"(0, 25]"
31,GTEX.18A6Q.2026.SM.718AQ,"(0, 25]"
32,GTEX.18A7A.1526.SM.72D69,"(0, 25]"
33,GTEX.1A8FM.1226.SM.7IGMD,"(25, 80]"
34,GTEX.1AMFI.0826.SM.731DV,"(25, 80]"
35,GTEX.1AX8Z.1026.SM.7189R,"(0, 25]"
36,GTEX.1B932.1426.SM.793AN,"(0, 25]"
37,GTEX.1B933.1226.SM.731DW,"(25, 80]"
39,GTEX.1B996.1426.SM.7EPIA,"(25, 80]"
40,GTEX.1C6VQ.1626.SM.79OO1,"(25, 80]"
41,GTEX.1CAMQ.1426.SM.7MKFL,"(25, 80]"
42,GTEX.1CB4F.1726.SM.7MGXH,"(25, 80]"
43,GTEX.1GF9X.0426.SM.7MKHN,"(25, 80]"
44,GTEX.1GN1U.0926.SM.9WPPY,"(25, 80]"
45,GTEX.1H11D.0826.SM.9OSWB,"(0, 25]"
48,GTEX.1ICG6.1026.SM.B2LY6,"(0, 25]"
49,GTEX.1J8EW.1626.SM.C1YQ8,"(0, 25]"
50,GTEX.1K9T9.0726.SM.CXZJZ,"(25, 80]"
51,GTEX.1QPFJ.1126.SM.E9U5V,"(25, 80]"
52,GTEX.O5YT.0826.SM.3TW8N,"(25, 80]"
53,GTEX.OIZF.0826.SM.3MJGO,"(25, 80]"
56,GTEX.OOBJ.0826.SM.3NB2K,"(25, 80]"
58,GTEX.PX3G.0826.SM.48TZS,"(0, 25]"
59,GTEX.Q734.0326.SM.48U15,"(25, 80]"
60,GTEX.QDVN.0826.SM.48TZ2,"(25, 80]"
61,GTEX.QEL4.1226.SM.447A4,"(25, 80]"
62,GTEX.QESD.2026.SM.447BI,"(0, 25]"
63,GTEX.QV44.0326.SM.C1YQX,"(0, 25]"
65,GTEX.R53T.0326.SM.48FEC,"(0, 25]"
66,GTEX.RM2N.1926.SM.48FCU,"(25, 80]"
67,GTEX.S32W.1926.SM.4AD63,"(0, 25]"
69,GTEX.S33H.1626.SM.4AD68,"(0, 25]"
70,GTEX.S4Z8.0526.SM.4AD4T,"(25, 80]"
71,GTEX.TKQ2.1726.SM.4DXUP,"(0, 25]"
72,GTEX.U8XE.1526.SM.4E3HT,"(25, 80]"
74,GTEX.VUSG.0126.SM.4KL1X,"(0, 25]"
76,GTEX.WFON.1726.SM.4LVMQ,"(25, 80]"
78,GTEX.WQUQ.1926.SM.4OOSA,"(0, 25]"
79,GTEX.WY7C.0726.SM.4ONCB,"(25, 80]"
80,GTEX.WYVS.1926.SM.4PQZ2,"(0, 25]"
82,GTEX.X3Y1.2726.SM.4PQZH,"(0, 25]"
83,GTEX.XXEK.1126.SM.4BRUX,"(0, 25]"
85,GTEX.Y5LM.0426.SM.4VBRO,"(0, 25]"
86,GTEX.Y5V5.0926.SM.4VBPZ,"(25, 80]"
87,GTEX.YB5E.0326.SM.5IFHU,"(0, 25]"
88,GTEX.YEC4.0826.SM.5P9FV,"(25, 80]"
89,GTEX.ZAB4.0826.SM.5LU9D,"(25, 80]"
90,GTEX.ZAB5.0426.SM.5CVMI,"(25, 80]"
91,GTEX.ZEX8.0826.SM.4WKHK,"(25, 80]"
93,GTEX.ZF29.2026.SM.DNZYW,"(25, 80]"
94,GTEX.ZF2S.3026.SM.4WWCH,"(0, 25]"
95,GTEX.ZPU1.0826.SM.57WG2,"(0, 25]"
98,GTEX.ZTPG.1426.SM.51MT3,"(25, 80]"
99,GTEX.ZVP2.0626.SM.51MSO,"(25, 80]"
100,GTEX.ZYT6.0626.SM.5E45V,"(25, 80]"
101,GTEX.ZYY3.0626.SM.5NQ6W,"(25, 80]"
